WKT,LINKID,CODE,DATE,REMARK,HDUFID
"MULTILINESTRING ((471194.778 3965613.792,471193.287 3965613.887,471191.79 3965613.982))",155M005904,2,20180730,,A2ST18AS000001
"MULTILINESTRING ((471040.013 3965686.992,471041.341 3965686.258,471042.645 3965685.537))",155M006504,2,20180730,,A2ST18AS000002
"MULTILINESTRING ((471022.575 3965613.692,471022.758 3965615.199,471022.939 3965616.727))",155M001404,2,20180730,,A2ST18AS000003
"MULTILINESTRING ((471223.841 3965691.121,471224.222 3965694.085,471224.595 3965696.981))",155M005504,1,20180730,,A2ST18AS000004
"MULTILINESTRING ((471376.188 3965855.663,471377.715 3965855.384,471379.199 3965855.113))",155M007604,2,20180801,,A2ST18AS000008
"MULTILINESTRING ((471285.986 3965891.05,471287.484 3965890.753,471288.993 3965890.46))",155M008104,2,20180806,,A2ST18AS000009
"MULTILINESTRING ((471276.101 3966051.696,471277.464 3966051.071,471278.823 3966050.467,471280.21 3966049.851,471281.594 3966049.237))",155M004404,1,20180731,,A2ST18AS000016
"MULTILINESTRING ((471384.895 3966159.907,471385.272 3966158.435,471385.649 3966156.964,471386.001 3966155.524,471386.356 3966154.073))",155M004504,1,20180731,,A2ST18AS000017
"MULTILINESTRING ((471593.809 3966136.274,471593.505 3966134.81,471593.201 3966133.347,471592.903 3966131.915,471592.606 3966130.483))",155M004904,1,20180731,,A2ST18AS000018
"MULTILINESTRING ((471417.748 3966167.544,471417.643 3966169.064,471417.54 3966170.564,471417.439 3966172.03,471417.333 3966173.579))",155M004804,1,20180731,,A2ST18AS000019
"MULTILINESTRING ((471293.444 3966080.553,471292.034 3966081.109,471290.605 3966081.67,471289.202 3966082.199,471287.681 3966082.768))",155M004604,1,20180731,,A2ST18AS000020
"MULTILINESTRING ((471254.517 3965990.649,471253.041 3965990.862,471251.56 3965991.076,471250.066 3965991.292,471248.584 3965991.507))",155M004704,1,20180731,,A2ST18AS000021
"MULTILINESTRING ((471311.1 3966052.38,471310.516 3966049.456,471310.48 3966049.272))",155M005004,2,20180808,,A2ST18AS000022
"MULTILINESTRING ((471217.073 3965781.002,471218.528 3965780.704,471220.006 3965780.445,471221.473 3965780.187,471222.937 3965779.939))",155M005804,2,20180808,,A2ST18AS000023
"MULTILINESTRING ((471229.902 3965851.715,471231.359 3965851.357,471232.808 3965851.002,471233.512 3965850.831,471234.239 3965850.654,471235.664 3965850.305))",155M004204,1,20180731,,A2ST18AS000024
"MULTILINESTRING ((471247.251 3965947.705,471248.716 3965947.423,471250.167 3965947.143,471251.709 3965946.847,471254.285 3965946.351))",155M004304,1,20180731,,A2ST18AS000025
"MULTILINESTRING ((471204.875 3965716.464,471203.398 3965716.738,471201.929 3965717.011,471200.487 3965717.322,471199.03 3965717.636))",155M004004,1,20180730,,A2ST18AS000026
"MULTILINESTRING ((471237.289 3965895.632,471235.793 3965895.897,471234.3 3965896.162,471232.853 3965896.419,471231.43 3965896.672))",155M003804,1,20180731,,A2ST18AS000027
