WKT,R_LINKID,L_LINKID,LANETYPE,LANECODE,BARRIER,LNO,CODE,DATE,REMARK,HDUFID
"MULTILINESTRING ((471049.612 3965693.173,471050.111 3965693.629,471050.54 3965693.967,471050.883 3965694.209,471051.33 3965694.544,471051.805 3965694.893,471052.203 3965695.18,471052.707 3965695.53,471053.115 3965695.794,471053.581 3965696.083,471053.971 3965696.309,471054.363 3965696.515,471054.798 3965696.753,471055.238 3965696.997,471055.662 3965697.198))",,,111,09,99,1,1,20180730,,A1LN18AS000001
"MULTILINESTRING ((471191.665 3965692.176,471192.527 3965692.05,471193.118 3965691.866,471193.629 3965691.629,471194.022 3965691.438,471194.568 3965691.054,471195.052 3965690.657,471195.512 3965690.237,471195.87 3965689.852,471196.26 3965689.346,471196.606 3965688.824,471196.835 3965688.364,471197.022 3965687.878,471197.198 3965687.345,471197.333 3965686.876,471197.38 3965686.528,471197.44 3965686.143,471197.451 3965685.861,471197.458 3965685.518,471197.447 3965685.342))",,,111,09,99,2,1,20180730,,A1LN18AS000002
"MULTILINESTRING ((471196.453 3965703.469,471196.367 3965703.116,471196.255 3965702.699,471196.052 3965702.21,471195.825 3965701.758,471195.566 3965701.363,471195.293 3965701.009,471195.027 3965700.675,471194.692 3965700.371,471194.383 3965700.064,471193.887 3965699.699,471193.494 3965699.4,471193.166 3965699.202,471192.826 3965699.016,471192.5 3965698.867,471192.177 3965698.781))",,,111,09,99,3,1,20180730,,A1LN18AS000003
"MULTILINESTRING ((471205.716 3965684.395,471205.996 3965684.625,471206.167 3965684.784,471206.56 3965685.043,471206.905 3965685.251,471207.255 3965685.433,471207.656 3965685.646,471208.089 3965685.823,471208.499 3965685.967,471208.793 3965686.044))",,,111,09,99,4,1,20180730,,A1LN18AS000004
"MULTILINESTRING ((471210.538 3965698.943,471210.195 3965699.116,471209.842 3965699.385,471209.606 3965699.643,471209.296 3965700.052,471209.104 3965700.382,471208.921 3965700.788,471208.813 3965701.213))",,,111,11,99,5,1,20180730,,A1LN18AS000005
"MULTILINESTRING ((471190.627 3965606.884,471190.431 3965606.612,471190.183 3965606.233,471189.827 3965605.761,471189.472 3965605.319,471189.132 3965604.993,471188.724 3965604.671,471188.296 3965604.345,471187.939 3965604.139,471187.493 3965603.904,471187.088 3965603.755,471186.778 3965603.691))",,,111,09,99,6,1,20180730,,A1LN18AS000006
"MULTILINESTRING ((471201.498 3965602.049,471201.015 3965602.182,471200.829 3965602.247,471200.572 3965602.378,471200.314 3965602.547,471199.967 3965602.77,471199.629 3965603.025,471199.332 3965603.284,471199.134 3965603.483,471198.895 3965603.738,471198.636 3965604.048,471198.41 3965604.331,471198.188 3965604.659,471198.023 3965604.955,471197.84 3965605.334,471197.711 3965605.633,471197.567 3965606.11,471197.521 3965606.364))",,,111,09,99,7,1,20180730,,A1LN18AS000007
"MULTILINESTRING ((471022.939 3965616.727,471022.356 3965616.917,471021.971 3965617.084,471021.59 3965617.272,471021.26 3965617.436,471020.962 3965617.613,471020.618 3965617.846,471020.384 3965618.026,471020.13 3965618.242,471019.88 3965618.491,471019.663 3965618.747,471019.476 3965618.988,471019.238 3965619.338,471019.049 3965619.691,471018.894 3965620.01,471018.791 3965620.252,471018.693 3965620.457))",,,111,09,99,8,1,20180730,,A1LN18AS000008
"MULTILINESTRING ((471007.728 3965611.958,471009.356 3965611.816,471010.15 3965611.745,471012.263 3965611.559,471013.139 3965611.484,471013.814 3965611.425,471014.675 3965611.356,471015.524 3965611.28,471016.335 3965611.208,471017.177 3965611.129,471018.25 3965611.034,471018.99 3965610.979,471019.841 3965610.915,471020.653 3965610.833,471021.313 3965610.779,471021.636 3965610.743,471021.886 3965610.713))",,,111,09,99,9,1,20180730,,A1LN18AS000009
"MULTILINESTRING ((471011.422 3965621.425,471011.236 3965621.126,471011.064 3965620.838,471010.787 3965620.46,471010.493 3965620.084,471010.218 3965619.821,471009.87 3965619.526,471009.413 3965619.178,471009.047 3965618.95,471008.57 3965618.672,471008.067 3965618.443,471007.749 3965618.343))",,,111,09,99,10,1,20180730,,A1LN18AS000010
