WKT,NODEID,NODETYPE,DATE,REMARK,ITS_NODEID,HDUFID
"POINT (471245.298 3965948.352)",155M00380104,01,20181024,,,C1NO18AS000144
"POINT (471242.399 3965949.049)",155M00380204,01,20181024,,,C1NO18AS000145
"POINT (471235.793 3965895.897)",155M00390104,01,20181024,,,C1NO18AS000146
"POINT (471232.853 3965896.419)",155M00390204,01,20181024,,,C1NO18AS000147
"POINT (471228.506 3965855.294)",155M00400104,01,20181024,,,C1NO18AS000148
"POINT (471225.578 3965855.965)",155M00400204,01,20181024,,,C1NO18AS000149
"POINT (471220.445 3965810.952)",155M00410104,01,20181024,,,C1NO18AS000150
"POINT (471217.567 3965811.577)",155M00410204,01,20181024,,,C1NO18AS000151
"POINT (471215.127 3965781.555)",155M00420104,01,20181024,,,C1NO18AS000152
"POINT (471212.21 3965782.071)",155M00420204,01,20181024,,,C1NO18AS000153
"POINT (471203.398 3965716.738)",155M00430104,01,20181024,,,C1NO18AS000154
"POINT (471200.487 3965717.322)",155M00430204,01,20181024,,,C1NO18AS000155
"POINT (471209.11 3965728.745)",155M00440104,99,20181024,,,C1NO18AS000156
"POINT (471212.02676987 3965728.13031974)",155M00440204,99,20181024,,,C1NO18AS000157
"POINT (471218.528 3965780.704)",155M00450104,01,20181024,,,C1NO18AS000158
"POINT (471221.473 3965780.187)",155M00450204,01,20181024,,,C1NO18AS000159
"POINT (471223.3 3965806.974)",155M00460104,01,20181024,,,C1NO18AS000160
"POINT (471231.359 3965851.357)",155M00470104,01,20181024,,,C1NO18AS000162
"POINT (471234.239 3965850.654)",155M00470204,01,20181024,,,C1NO18AS000163
"POINT (471238.716 3965892.07)",155M00480104,01,20181024,,,C1NO18AS000164
"POINT (471241.661 3965891.615)",155M00480204,01,20181024,,,C1NO18AS000165
"POINT (471248.716 3965947.423)",155M00490104,01,20181024,,,C1NO18AS000166
"POINT (471251.709 3965946.847)",155M00490204,01,20181024,,,C1NO18AS000167
"POINT (471255.933 3965987.193)",155M00500104,01,20181024,,,C1NO18AS000168
"POINT (471258.877 3965986.805)",155M00500204,01,20181024,,,C1NO18AS000169
"POINT (471277.464 3966051.071)",155M00510104,01,20181024,,,C1NO18AS000170
"POINT (471280.21 3966049.851)",155M00510204,01,20181024,,,C1NO18AS000171
