WKT,NODEID,NODETYPE,DATE,REMARK,ITS_NODEID,HDUFID
POINT (301950.8 4122653.128),233A01390101,1,20180430,,,C1NO184A001000
POINT (301954.666 4122652.584),233A01400101,1,20180430,,,C1NO184A001001
POINT (302058.106 4122741.561),233A00010101,1,20180430,,,C1NO184A001002
POINT (302058.465 4122744.971),233A00020101,1,20180430,,,C1NO184A001003
POINT (301995.052 4122756.825),233A00030101,1,20180430,,,C1NO184A001004
POINT (301994.095 4122753.0),233A00040101,1,20180430,,,C1NO184A001005
POINT (301971.694 4122728.435),233A00050101,1,20180430,,,C1NO184A001006
POINT (301972.388 4122731.724),233A00060101,1,20180430,,,C1NO184A001007
POINT (302086.273 4122633.471),233A00070101,1,20180430,,,C1NO184A001008
POINT (302089.428 4122632.94),233A00080101,1,20180430,,,C1NO184A001009
POINT (301965.853 4122717.463),233A00090101,1,20180430,,,C1NO184A001010
POINT (301962.213 4122718.249),233A00100101,1,20180430,,,C1NO184A001011
POINT (301955.528 4122680.316),233A00110101,1,20180430,,,C1NO184A001012
POINT (301959.082 4122679.737),233A00120101,1,20180430,,,C1NO184A001013
POINT (301957.786 4122669.907),233A00130101,1,20180430,,,C1NO184A001014
POINT (301953.945 4122670.654),233A00140101,1,20180430,,,C1NO184A001015
POINT (301966.247 4122675.334),233A00150101,1,20180430,,,C1NO184A001016
POINT (301965.427 4122671.602),233A00160101,1,20180430,,,C1NO184A001017
POINT (301995.889 4122665.422),233A00170101,99,20180430,����������,,C1NO184A001018
POINT (301996.65 4122669.208),233A00180101,99,20180430,����������,,C1NO184A001019
POINT (301950.293 4122629.644),233A00190101,1,20180430,,,C1NO184A001020
POINT (301946.824 4122630.276),233A00200101,1,20180430,,,C1NO184A001021
POINT (301931.553 4122542.803),233A00210101,1,20180430,,,C1NO184A001022
POINT (301934.872 4122542.17),233A00220101,1,20180430,,,C1NO184A001023
POINT (301933.024 4122531.835),233A00230101,1,20180430,,,C1NO184A001024
POINT (301929.754 4122532.286),233A00240101,1,20180430,,,C1NO184A001025
POINT (301931.973 4122513.173),233A00250101,1,20180430,,,C1NO184A001026
POINT (301934.394 4122515.375),233A00260101,1,20180430,,,C1NO184A001027
POINT (301948.122 4122510.865),233A00270101,1,20180430,,,C1NO184A001028
POINT (301947.32 4122506.491),233A00280101,1,20180430,,,C1NO184A001029
POINT (301981.522 4122500.678),233A00290101,1,20180430,,,C1NO184A001030
POINT (301982.431 4122505.088),233A00300101,1,20180430,,,C1NO184A001031
POINT (301983.748 4122509.009),233A00310101,1,20180430,,,C1NO184A001032
POINT (301987.485 4122508.211),233A00320101,1,20180430,,,C1NO184A001033
POINT (302007.061 4122505.978),233A00330101,1,20180430,,,C1NO184A001034
POINT (302010.449 4122505.38),233A00340101,1,20180430,,,C1NO184A001035
POINT (301998.004 4122494.995),233A00350101,1,20180430,,,C1NO184A001036
POINT (301992.0 4122495.953),233A00360101,1,20180430,,,C1NO184A001037
POINT (301990.795 4122487.549),233A00370101,99,20180430,���ų���,,C1NO184A001038
POINT (301996.677 4122486.745),233A00380101,99,20180430,���ų���,,C1NO184A001039
POINT (302019.726 4122498.489),233A00390101,1,20180430,,,C1NO184A001040
POINT (302019.123 4122495.104),233A00400101,1,20180430,,,C1NO184A001041
POINT (302047.36 4122490.142),233A00410101,1,20180430,,,C1NO184A001042
POINT (302047.847 4122493.539),233A00420101,1,20180430,,,C1NO184A001043
POINT (302086.577 4122618.631),233A00430101,1,20180430,,,C1NO184A001044
