WKT,fid,NODEID,NODETYPE,DATE,REMARK,ITS_NODEID,HDUFID,HISTTYPE,HISTREMARK
"MULTIPOINT ((301950.8 4122653.128))",1,233A01390101,01,20180430,,,C1NO184A001000,,
"MULTIPOINT ((301954.666 4122652.584))",2,233A01400101,01,20180430,,,C1NO184A001001,,
"MULTIPOINT ((302058.106 4122741.561))",3,233A00010101,01,20180430,,,C1NO184A001002,,
"MULTIPOINT ((302058.465 4122744.971))",4,233A00020101,01,20180430,,,C1NO184A001003,,
"MULTIPOINT ((301995.052 4122756.825))",5,233A00030101,01,20180430,,,C1NO184A001004,,
"MULTIPOINT ((301994.095 4122753.0))",6,233A00040101,01,20180430,,,C1NO184A001005,,
"MULTIPOINT ((301971.694 4122728.435))",7,233A00050101,01,20180430,,,C1NO184A001006,,
"MULTIPOINT ((301972.388 4122731.724))",8,233A00060101,01,20180430,,,C1NO184A001007,,
"MULTIPOINT ((302086.273 4122633.471))",9,233A00070101,01,20180430,,,C1NO184A001008,,
"MULTIPOINT ((302089.428 4122632.94))",10,233A00080101,01,20180430,,,C1NO184A001009,,
"MULTIPOINT ((301965.853 4122717.463))",11,233A00090101,01,20180430,,,C1NO184A001010,,
"MULTIPOINT ((301962.213 4122718.249))",12,233A00100101,01,20180430,,,C1NO184A001011,,
"MULTIPOINT ((301955.528 4122680.316))",13,233A00110101,01,20180430,,,C1NO184A001012,,
"MULTIPOINT ((301959.082 4122679.737))",14,233A00120101,01,20180430,,,C1NO184A001013,,
"MULTIPOINT ((301957.786 4122669.907))",15,233A00130101,01,20180430,,,C1NO184A001014,,
"MULTIPOINT ((301953.945 4122670.654))",16,233A00140101,01,20180430,,,C1NO184A001015,,
"MULTIPOINT ((301966.247 4122675.334))",17,233A00150101,01,20180430,,,C1NO184A001016,,
"MULTIPOINT ((301965.427 4122671.602))",18,233A00160101,01,20180430,,,C1NO184A001017,,
"MULTIPOINT ((301995.889 4122665.422))",19,233A00170101,99,20180430,����������,,C1NO184A001018,,
"MULTIPOINT ((301996.65 4122669.208))",20,233A00180101,99,20180430,����������,,C1NO184A001019,,
"MULTIPOINT ((301950.293 4122629.644))",21,233A00190101,01,20180430,,,C1NO184A001020,,
"MULTIPOINT ((301946.824 4122630.276))",22,233A00200101,01,20180430,,,C1NO184A001021,,
"MULTIPOINT ((301931.553 4122542.803))",23,233A00210101,01,20180430,,,C1NO184A001022,,
"MULTIPOINT ((301934.872 4122542.17))",24,233A00220101,01,20180430,,,C1NO184A001023,,
"MULTIPOINT ((301933.024 4122531.835))",25,233A00230101,01,20180430,,,C1NO184A001024,,
"MULTIPOINT ((301929.754 4122532.286))",26,233A00240101,01,20180430,,,C1NO184A001025,,
"MULTIPOINT ((301931.973 4122513.173))",27,233A00250101,01,20180430,,,C1NO184A001026,,
"MULTIPOINT ((301934.394 4122515.375))",28,233A00260101,01,20180430,,,C1NO184A001027,,
"MULTIPOINT ((301948.122 4122510.865))",29,233A00270101,01,20180430,,,C1NO184A001028,,
"MULTIPOINT ((301947.32 4122506.491))",30,233A00280101,01,20180430,,,C1NO184A001029,,
"MULTIPOINT ((301981.522 4122500.678))",31,233A00290101,01,20180430,,,C1NO184A001030,,
"MULTIPOINT ((301982.431 4122505.088))",32,233A00300101,01,20180430,,,C1NO184A001031,,
"MULTIPOINT ((301983.748 4122509.009))",33,233A00310101,01,20180430,,,C1NO184A001032,,
"MULTIPOINT ((301987.485 4122508.211))",34,233A00320101,01,20180430,,,C1NO184A001033,,
